bhk,propertytype,location,sqft,pricepersqft,totalprice
3,Flat,Ahmedabad,1346.0,6233,15700000
4,Flat,Ahmedabad,1872.0,4873,17500000
4,Flat,Ahmedabad,1650.0,6733,20200000
5,Flat,Ahmedabad,10201.0,8499,86700000
3,Flat,Ahmedabad,968.0,5944,10400000
4,Flat,Ahmedabad,4608.0,6400,29400000
4,Flat,Ahmedabad,5680.0,11655,66200000
4,Flat,Ahmedabad,4941.0,9006,44500000
3,Flat,Ahmedabad,1199.0,8000,18500000
5,Flat,Ahmedabad,4863.0,6462,31400000
3,Flat,Ahmedabad,966.0,4539,7970000
3,Flat,Ahmedabad,1300.0,4388,10000000
4,Flat,Ahmedabad,3829.0,6000,42300000
3,Flat,Ahmedabad,2520.0,5159,13000000
5,Flat,Ahmedabad,3415.0,5491,34100000
5,Flat,Ahmedabad,2974.0,7176,38800000
4,Flat,Ahmedabad,5599.0,4506,25200000
3,Flat,Ahmedabad,1926.0,8515,16399999
5,Flat,Ahmedabad,2772.0,5500,27700000
4,Flat,Ahmedabad,3133.0,5750,18000000
3,Flat,Ahmedabad,861.0,4260,8000000
3,Flat,Ahmedabad,1529.0,14337,6509999
4,Villa,Ahmedabad,6975.0,4038,100000000
2,Flat,Ahmedabad,1305.0,5726,5270000
4,Flat,Ahmedabad,1824.0,5159,19000000
3,Flat,Ahmedabad,2520.0,4667,13000000
6,Flat,Ahmedabad,6841.0,5574,103300000
4,Flat,Ahmedabad,1928.0,5491,14900000
5,Flat,Ahmedabad,2772.0,12183,28000000
5,Flat,Ahmedabad,3415.0,3664,34100000
4,Villa,Ahmedabad,4104.0,4555,50000000
4,Flat,Ahmedabad,3100.0,5486,11299999
3,Flat,Ahmedabad,1300.0,5814,10400000
3,Flat,Ahmedabad,963.0,9000,9600000
4,Flat,Ahmedabad,2580.0,4323,15000000
5,Flat,Ahmedabad,6840.0,9500,61500000
3,Flat,Ahmedabad,968.0,4882,7759999
4,Flat,Ahmedabad,4349.0,7500,41300000
3,Flat,Ahmedabad,2493.0,5800,12100000
4,Flat,Ahmedabad,2363.0,4700,32200000
4,Flat,Ahmedabad,3351.0,5000,19400000
4,Flat,Ahmedabad,3900.0,3444,18300000
4,Flat,Ahmedabad,2118.0,3906,15400000
4,Flat,Ahmedabad,3260.0,7630,16299999
3,Flat,Ahmedabad,1827.0,5323,6290000
3,Flat,Ahmedabad,1080.0,4040,7030000
3,Flat,Ahmedabad,896.0,4767,7000000
4,Flat,Ahmedabad,3827.0,4420,29200000
4,Flat,Ahmedabad,4415.0,5581,23500000
2,Flat,Ahmedabad,1350.0,5350,5450000
3,Flat,Ahmedabad,3042.0,11456,14500000
3,Flat,Ahmedabad,1935.0,5100,8550000
3,Flat,Ahmedabad,1935.0,6785,10800000
4,Flat,Ahmedabad,1545.0,6500,15600000
4,Flat,Ahmedabad,2008.0,6030,32200000
3,Flat,Ahmedabad,787.0,9500,6940000
3,Flat,Ahmedabad,1386.0,6500,17000000
4,Flat,Ahmedabad,1743.0,3350,20600000
4,Flat,Ahmedabad,2376.0,3798,14300000
4,Flat,Ahmedabad,3335.0,5716,57600000
4,Flat,Ahmedabad,1750.0,9200,20600000
3,Flat,Ahmedabad,890.0,4757,5350000
3,Flat,Ahmedabad,1801.0,6500,6840000
4,Flat,Ahmedabad,2124.0,9459,17800000
5,Flat,Ahmedabad,8015.0,5000,73700000
3,Flat,Ahmedabad,1750.0,4200,8330000
4,Flat,Ahmedabad,1765.0,4040,21200000
4,Flat,Ahmedabad,2035.0,10500,35000000
3,Flat,Ahmedabad,1445.0,4865,13100000
3,Flat,Ahmedabad,945.0,6000,7350000
2,Flat,Ahmedabad,1350.0,4000,5450000
5,Flat,Ahmedabad,7650.0,8347,80300000
3,Flat,Ahmedabad,1850.0,4014,9000000
3,Flat,Ahmedabad,1458.0,14344,17500000
3,Flat,Ahmedabad,800.0,8527,7000000
3,Flat,Ahmedabad,1015.0,6477,15400000
2,Flat,Ahmedabad,809.0,5943,5600000
5,Flat,Ahmedabad,6623.0,8392,95000000
5,Flat,Ahmedabad,3000.0,4387,41000000
4,Flat,Ahmedabad,2163.0,4667,25400000
3,Flat,Ahmedabad,1046.0,9500,11500000
4,Flat,Ahmedabad,1639.0,5000,25000000
3,Flat,Ahmedabad,1550.0,10500,6800000
3,Flat,Ahmedabad,1260.0,4000,8400000
4,Villa,Ahmedabad,2700.0,4777,34200000
3,Flat,Ahmedabad,1500.0,7000,9000000
5,Flat,Ahmedabad,4311.0,7185,82200000
2,Flat,Ahmedabad,740.0,5778,5400000
4,Flat,Ahmedabad,1703.0,4300,14700000
4,Flat,Ahmedabad,4464.0,4100,31200000
4,Flat,Ahmedabad,3187.0,4200,43200000
3,Flat,Ahmedabad,1260.0,6000,10400000
3,Flat,Ahmedabad,1750.0,4878,7530000
3,Flat,Ahmedabad,968.0,6667,7220000
2,Flat,Ahmedabad,647.0,5318,5170000
4,Flat,Ahmedabad,4130.0,9496,24700000
3,Flat,Ahmedabad,1150.0,4200,12100000
4,Flat,Ahmedabad,2385.0,7601,28900000
4,Flat,Ahmedabad,1810.0,8333,17500000
4,Flat,Ahmedabad,6100.0,5325,57900000
3,Flat,Ahmedabad,1795.0,6182,7540000
3,Flat,Ahmedabad,2368.0,12500,18000000
3,Flat,Ahmedabad,1350.0,6500,20000000
4,Flat,Ahmedabad,1382.0,5733,13300000
4,Flat,Ahmedabad,2396.0,4000,27200000
4,Flat,Ahmedabad,1760.0,4000,40000000
